   8,    744,  -2998,  -3094
   8,    764,  -1057,  -1141
  12,   1139,  -6465,  -6472
  10,    993,   2050,   2059
  12,   1178,  -1727,  -1720
  10,   1028,   5416,   5355
   4,    319,  -4990,  -5086
   9,    928,   3850,   3854
   6,    518,   -571,   -455
   6,    614,  -1361,  -1330
  12,   1127,   6465,   6439
   9,    857,   2491,   2494
   6,    536,   -571,   -515
   6,    506,   7621,   7652
   1,    117,   2172,   2494
   9,    896,  -7906,  -7862
   9,    880,   6587,   6565
   9,    832,   1605,   1674
   6,    506,   3525,   3802
   6,    522,   -571,   -421
  10,    950,   -854,   -795
  12,   1105,   5823,   5786
   8,    797,   3039,   2932
   8,    776,   1098,   1035
   9,    893,    286,    331
   8,    709,  -3728,  -3675
  12,   1135,    691,    693
   8,    694,  -7824,  -7777
  10,    934,   -854,   -797
  10,   1047,   6912,   6876
  12,   1101,   -246,   -201
  12,   1146,   5823,   5822
   4,    314,  -4990,  -5056
  13,   1290,   5579,   5582
  10,   1008,   5416,   5492
   6,    570,  -2735,  -2715
  13,   1327,  -1483,  -1451
   8,    782,  -5153,  -5204
   8,    681,  -2050,  -1969
  12,   1136,   5823,   5845
   9,    865,  -5701,  -5650
  10,    994,  -6146,  -6195
   5,    503,  -3525,  -3616
   6,    539,   3525,   3502
  10,    935,   7338,   7293
   6,    470,   7621,   7587
   8,    739,  -6146,  -6179
   9,    912,   -246,   -316
  12,   1080,   -246,   -210
   8,    717,  -3728,  -3738
   4,    337,  -4990,  -5055
  10,    948,    894,    779
  10,    925,   -854,   -737
  12,   1146,   6465,   6447
  12,   1129,   4787,   4728
   6,    595,   6831,   6790
   6,    484,   -571,   -566
   4,    427,  -6105,  -6174
  10,    909,  -3202,  -3210
  13,   1319,   6709,   6668
   8,    700,  -3728,  -3632
   8,    682,  -4464,  -4449
  12,   1125,  -2369,  -2418
  12,   1226,  -1098,  -1079
   8,    676,   -368,   -453
   6,    549,   -571,   -566
   9,    869,   3850,   3831
  10,    998,  -6872,  -6901
  10,    962,  -7298,  -7353
   8,    706,  -4464,  -4403
   4,    461,  -2009,  -1828
   8,    700,  -4464,  -4560
   8,    755,  -2998,  -3056
  12,   1134,   7501,   7501
   8,    695,    368,    434
   8,    725,   5194,   5157
  12,   1200,  -7054,  -7064
   8,    712,  -4464,  -4393
  10,    972,   3242,   3238
   9,    864,   5701,   5665
   6,    572,   5457,   5667
   4,    329,   -894,   -905
  10,    946,  -3202,  -3269
   9,    904,   3850,   3810
   9,    855,   1605,   1693
   8,    707,   4464,   4496
   8,    726,  -3728,  -3786
   8,    719,  -3728,  -3717
  10,    992,  -6146,  -6131
  10,   1008,  -2776,  -2842
  12,   1221,  -5194,  -5189
   9,    899,   4382,   4375
  11,   1085,  -3850,  -3872
   3,    317,  -3202,  -3232
   8,    743,   1098,   1131
  12,   1160,  -6465,  -6442
  10,   1044,  -2776,  -2810
   9,    868,   5701,   5724
  13,   1290,  -5579,  -5588
   4,    439,  -6105,  -5930
  12,   1137,   6465,   6455
   6,    500,   3525,   3555
   3,    327,   4990,   4950
  11,   1096,  -3850,  -3839
  10,   1028,   6912,   6897
  12,   1202,   2998,   2984
   6,    490,  -4667,  -4675
  10,    959,   -854,   -790
  13,   1281,  -1483,  -1481
  12,   1147,    691,    627
   8,    708,  -6146,  -6055
  10,    952,  -4950,  -4964
  12,   1186,   7094,   7042
  10,    966,   2050,   2087
  10,    942,  -7298,  -7396
   6,    581,  -2735,  -2690
  12,   1163,   2369,   2323
   6,    564,   1361,   1372
  10,    971,  -4950,  -4888
   9,    891,  -5701,  -5747
  12,   1185,   5234,   5244
   6,    553,  -1361,  -1441
  12,   1176,  -5823,  -5849
   3,    281,  -3202,  -3236
   8,    784,  -2998,  -3036
   4,    428,   2091,   2173
  10,    975,  -4950,  -4977
   8,    767,  -7094,  -7191
   6,    502,  -4667,  -4372
   1,    175,   2172,   2334
   8,    788,   7135,   7152
  10,    963,   2050,   2065
  10,    954,   7338,   7338
   6,    535,  -4667,  -4557
   9,    917,  -7906,  -7952
  10,   1063,  -6872,  -6839
   4,    414,   2091,   2284
  10,    961,  -3202,  -3248
   9,    910,   3850,   3746
   9,    908,  -7906,  -7844
   6,    587,   2735,   2733
  12,   1131,   3405,   3465
   8,    763,   5194,   5106
  13,   1313,  -2613,  -2544
   8,    788,  -7094,  -7109
  12,   1188,  -5194,  -5200
  12,   1088,   7946,   7936
  12,   1122,   4787,   4831
  10,    976,   7338,   7406
  12,   1090,   7946,   7960
   9,    888,   6587,   6536
   9,    876,   4382,   4342
   8,    790,  -1057,  -1092
   9,    854,  -2491,  -2434
   6,    489,   7621,   7753
   6,    521,   7621,   7667
   4,    399,  -6105,  -6098
   8,    776,  -1057,  -1095
   4,    434,   6187,   5983
  10,    967,   4990,   5030
   3,    339,  -3202,  -3184
   9,    837,  -6587,  -6648
  12,   1126,   7946,   7953
   8,    763,  -7094,  -7112
  10,   1054,   5416,   5434
  12,   1119,  -6465,  -6461
   9,    846,  -2491,  -2447
   6,    526,   -571,   -469
  12,   1214,  -2958,  -2961
  11,   1083,   4342,   4393
  12,   1132,   7946,   7998
   6,    607,   5457,   5424
   6,    608,  -2735,  -2666
  13,   1291,  -5579,  -5518
  13,   1302,   5579,   5556
  10,   1065,   6912,   6956
  10,    947,   -854,   -806
  12,   1214,   1138,   1122
   9,    901,   -246,   -267
   8,    739,  -6146,  -6132
   9,    915,   3850,   3793
   5,    527,   4667,   4726
  12,   1165,    691,    647
  13,   1276,  -6709,  -6712
  10,    982,    894,    874
  10,    947,   7338,   7328
   4,    445,   6187,   6285
  12,   1158,  -1727,  -1761
   3,    310,  -3202,  -3166
  10,    939,  -4950,  -4863
   8,    711,    368,    257
   3,    348,  -3202,  -3311
   6,    502,   7621,   7737
   8,    739,   7135,   6969
   8,    704,  -6146,  -6141
   3,    334,   4990,   4997
  13,   1294,  -2613,  -2665
  13,   1327,  -2613,  -2656
   8,    760,  -2998,  -3060
   6,    508,   3525,   3458
   9,    887,   -246,   -274
  10,    970,  -6146,  -6043
