Sample in Buffer,Sample in Window,TRIGGER,rx_test_i/system_ila_2/inst/net_slot_0_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_0_axis_tready,rx_test_i/system_ila_2/inst/net_slot_0_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_1_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_1_axis_tready,rx_test_i/system_ila_2/inst/net_slot_1_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_2_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_2_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_2_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_3_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_3_axis_tready,rx_test_i/system_ila_2/inst/net_slot_3_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_4_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_4_axis_tready,rx_test_i/system_ila_2/inst/net_slot_4_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(tlast_gen_0_m_axis)[2:0],Interface_(i1:s3)_(cfo_correction_0_m_axis)[2:0],Interface_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(tlast_gen_0_m_axis)[2:0],T_Channel_(i1:s3)_(cfo_correction_0_m_axis)[2:0],T_Channel_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
13,13,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
14,14,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
15,15,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
16,16,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
17,17,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
18,18,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
19,19,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
20,20,0,00000000080000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e30270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
21,21,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e248f0037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
22,22,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
